Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
7/10/97,8.0476,8.0476,8.0476,8.0476,7190075
7/11/97,8.219,8.219,8.219,8.219,4547878
7/14/97,7.3994,7.3994,7.3994,7.3994,1162876
7/15/97,6.6816,6.6816,6.6816,6.6816,2430180
7/16/97,7.3298,7.3298,7.3298,7.3298,1666283
7/17/97,7.4689,7.5336,7.4689,7.5336,2245946
7/18/97,7.3623,7.3623,7.1261,7.1585,780890
7/21/97,7.3623,7.3623,7.2975,7.3623,1068518
7/22/97,7.3623,7.4689,7.3623,7.3994,692807
7/23/97,7.4317,7.4317,7.228,7.2975,594085
7/24/97,7.3623,7.3623,7.2975,7.2975,724049
7/25/97,7.3298,7.3298,7.2604,7.2604,577889
7/28/97,7.1956,7.1956,7.0892,7.0892,602391
7/29/97,7.0243,7.1956,7.0243,7.1261,344772
7/30/97,7.1261,7.3623,7.1261,7.2975,384292
7/31/97,7.2604,7.2604,7.0892,7.1261,382121
8/1/97,7.1261,7.2604,7.1261,7.1261,285185
8/4/97,7.1956,7.2604,7.1956,7.228,404470
8/5/97,7.2604,7.3623,7.2604,7.3623,598068
8/6/97,7.3623,7.3623,7.2604,7.2975,437194
8/7/97,7.3298,7.8113,7.3298,7.7744,547019
8/8/97,7.6726,8.219,7.6726,8.0152,1082742
8/11/97,7.8764,7.8764,7.6402,7.6726,778290
8/12/97,7.6402,7.8764,7.6402,7.7744,643519
8/13/97,7.8764,7.8764,7.8764,7.8764,862546
8/14/97,7.6031,7.705,7.5708,7.6031,373983
8/18/97,7.5012,7.5012,7.2975,7.3623,359568
8/19/97,7.6031,7.8764,7.6031,7.7421,672661
8/20/97,7.8113,7.8113,7.6726,7.705,659415
8/21/97,7.5336,7.5336,7.4689,7.4689,228506
8/22/97,7.4317,7.6031,7.4317,7.5708,218981
8/25/97,7.4689,7.5708,7.3623,7.3623,205096
8/26/97,7.3623,7.5012,7.3623,7.4317,239239
8/27/97,7.4317,7.5012,7.4317,7.4689,224860
8/28/97,7.6402,7.8113,7.6402,7.7744,895228
8/29/97,7.705,7.705,7.6402,7.6726,957973
9/1/97,7.5708,7.6402,7.5708,7.5708,254713
9/2/97,7.705,7.7744,7.705,7.7421,592392
9/3/97,7.8113,7.9828,7.8113,7.9457,1132652
9/4/97,7.8113,7.8113,7.705,7.7421,590171
9/5/97,7.705,7.8439,7.705,7.7744,508114
9/8/97,7.7421,7.7421,7.6726,7.7421,201375
9/9/97,7.6402,7.705,7.6402,7.6726,386991
9/10/97,7.6402,7.7421,7.6402,7.6726,377145
9/11/97,7.5708,7.6726,7.5708,7.6402,380729
9/12/97,7.6402,7.705,7.6402,7.6726,343929
9/15/97,7.6031,7.705,7.6031,7.6726,307207
9/16/97,7.6031,7.6402,7.5336,7.5336,341277
9/17/97,7.5012,7.5012,7.4317,7.4689,369050
9/18/97,7.3994,7.5336,7.3623,7.5336,536764
9/19/97,7.705,7.8439,7.705,7.8439,1366639
9/22/97,7.8764,7.8764,7.7421,7.7744,859565
9/23/97,7.7744,7.7744,7.6726,7.705,585278
9/24/97,7.5708,7.6726,7.5708,7.6402,416336
9/25/97,7.5012,7.5012,7.3994,7.4317,613814
9/26/97,7.3994,7.4317,7.3623,7.3623,540259
9/29/97,7.4317,7.5012,7.4317,7.4317,433645
9/30/97,7.5708,7.5708,7.4317,7.4689,389995
10/1/97,7.5336,7.5708,7.5012,7.5708,678461
10/2/97,7.5012,7.5012,7.4317,7.4317,536927
10/3/97,7.5336,7.6726,7.5336,7.6031,1416411
10/6/97,7.5336,7.6726,7.5336,7.6031,1479721
10/7/97,7.5336,7.7744,7.5336,7.7421,1446770
10/8/97,7.7744,8.0846,7.7744,8.0476,2288118
10/9/97,7.8764,7.9828,7.8439,7.8439,2236332
10/10/97,7.7421,7.7744,7.6726,7.6726,1105243
10/13/97,7.8113,7.9133,7.8113,7.9133,960477
10/14/97,7.8764,7.9828,7.8113,7.8439,1163121
10/15/97,7.9828,8.0152,7.9457,8.0152,1734081
10/16/97,8.0476,8.0476,7.9133,7.9457,1075584
10/17/97,7.9828,8.0846,7.9828,8.0476,1197370
10/20/97,8.0846,8.1542,8.0846,8.0846,1745680
10/21/97,8.1865,8.3903,8.1865,8.3579,1499272
10/22/97,8.3903,8.5617,8.3903,8.4273,1719367
10/23/97,8.3579,8.3579,8.0476,8.0846,3181697
10/24/97,8.0152,8.1542,8.0152,8.1172,1754649
10/27/97,7.6031,7.6402,7.4689,7.4689,1832815
10/28/97,6.8531,6.8531,6.1678,6.2694,668532
10/29/97,7.4689,7.4689,7.0243,7.2975,2058064
10/30/97,7.0892,7.0892,6.8531,6.9873,1910298
10/31/97,7.0566,7.1261,7.0243,7.0892,2258049
11/3/97,7.0892,7.228,7.0892,7.1956,1335918
11/4/97,6.9549,7.0243,6.8854,6.9178,1494059
11/5/97,6.8531,6.8854,6.816,6.816,1373444
11/6/97,6.9549,6.9549,6.8854,6.8854,784583
11/7/97,6.7835,6.7835,6.6122,6.6816,981891
11/12/97,6.6816,6.6816,6.1678,6.3714,1128647
11/13/97,6.0983,6.1678,5.9964,6.1678,1927251
11/14/97,6.2694,6.2694,6.1305,6.1678,1422806
11/17/97,6.4733,6.5103,6.3389,6.4733,1341542
11/18/97,6.5103,6.5103,6.3714,6.404,1176117
11/19/97,6.0288,6.1678,6.0288,6.0612,969852
11/20/97,6.0288,6.0288,5.9269,5.9964,761287
11/21/97,6.2001,6.2001,6.0612,6.1305,892329
11/24/97,5.5842,5.6861,5.4453,5.4822,1766597
11/25/97,5.413,5.4453,5.3759,5.413,1571830
11/26/97,5.4453,5.4453,5.2415,5.2739,1235632
11/27/97,5.3759,5.3759,5.1027,5.1027,1461742
11/28/97,5.2046,5.2046,5.0007,5.1398,1467847
12/1/97,5.3436,5.4453,5.3436,5.3759,1635759
12/2/97,5.413,5.413,5.3111,5.3111,952025
12/3/97,5.3111,5.3111,5.1722,5.2415,663319
12/4/97,5.2046,5.3111,5.1722,5.2046,1353498
12/5/97,5.1722,5.1722,5.0007,5.0702,1181464
12/8/97,5.0702,5.0702,4.9313,4.9685,707849
12/9/97,5.0007,5.0007,4.899,4.9313,603086
12/10/97,4.899,4.899,4.7969,4.7969,687801
12/11/97,4.5562,4.5888,4.4174,4.4545,1050256
12/12/97,4.4174,4.4545,4.4174,4.4174,1162676
12/15/97,4.4869,4.5562,4.4545,4.4869,1090173
12/16/97,4.4869,4.4869,4.3155,4.3478,1121414
12/17/97,4.385,4.385,4.1117,4.1811,927577
12/18/97,4.1117,4.1441,4.0099,4.0424,1231401
12/19/97,3.9406,3.9406,3.8387,3.871,1348239
12/22/97,3.8387,3.8387,3.7321,3.7321,922106
12/23/97,3.7691,3.8387,3.7691,3.8387,1070411
12/29/97,3.9406,4.1441,3.9406,4.1117,2063569
12/30/97,4.3155,4.3478,4.2461,4.3155,1507851
12/31/97,4.4545,4.6906,4.4545,4.6257,1565704
1/5/98,4.5888,4.5888,4.3478,4.4174,1464022
1/6/98,4.385,4.385,4.0747,4.1117,785944
1/7/98,3.9729,3.9729,3.9729,3.9729,419224
1/8/98,3.9406,3.9406,3.8015,3.8387,1069769
1/9/98,3.871,3.871,3.7691,3.8387,1087847
1/12/98,3.496,3.5283,3.4079,3.4264,1828268
1/13/98,3.5979,3.5979,3.496,3.5979,1087222
1/14/98,3.8015,3.8015,3.6996,3.6996,1431397
1/15/98,3.6302,3.6302,3.496,3.5283,1039785
